BDF2005378AB59CD86B5A6DC9FA18CBE,Frost (EUR USA),null
280A77CE9F4DD07E0BAD5E69EB98E2B4,Shu (EUR JPN USA),null
727A54F37F0AD25AFF5AB6C392C37E59,Manticore - Galaxy on Fire (EUR JPN USA),null
78D743D7DFD266FA542D8EF196A7FFD2,ACA NEOGEO TOP PLAYER’S GOLF (EUR JPN USA),null
7EF207E2B57A2E283A114282DE633B17,Mercenaries Saga Chronicles (EUR USA),null
F014B595229BEB994F49726A5045DE10,Space Ribbon (EUR USA),null
6359A99CD1B1F9936DC18B85ED874660,Sky Force Reloaded (EUR USA),null
D4AF2AB4060BB7F6E0DC9012F34A25BB,Sky Rogue (EUR USA),null
669696D5A224B227F27BAE83CF12C82D,Drawful 2 (EUR USA),null
9154D1B714FCE359336BDCACD35C6339,Robonauts ロボノーツ (JPN),null
3B9BD0DEC64556B2F05558741F539587,ネオンロード (JPN),null
1CED1B76CE76DB49E48C6F360E022485,Pode (EUR JPN USA),null
2A882A3F7494E1C9243D80E744EBD318,BRAWL (EUR USA),null
02911A7892FE4778759F0502728674EA,The Jackbox Party Pack 2 (EUR USA),null
A80B44983C24B9B54732EF60B0FCE224,死印 (JPN),null
801B30E9121E3E993B3B9BF201D00C0B,Dungeon Rushers (CHN JPN KOR),null
8A3A31508AA42853E48F5DA3576430FD,Baseball Riot (EUR USA),null
61C2872153A90274AD5D2681419AAEA0,Animal Rivals - Nintendo Switch Edition (EUR USA),null
75A32021BE3512D7AA96B2D72F764411,Celeste (EUR JPN USA),null
EF3E9D7CCCF488AC50EAC37CB4A6BC67,Dust - An Elysian Tail (EUR USA),null
00D67BB3D2D3E3F3DC2133782CE478CF,Teslagrad (EUR USA),null
03D7282D559CA5BBB4E1B0992518A6E9,Monster Energy Supercross - The Official Videogame (EUR USA),null
93C7D47B1C409F48B0B870EB0D7775C5,ACA NEOGEO KING OF THE MONSTERS (EUR JPN USA),null
6D7F081F1081251D0B0531F85054A963,The LEGO® NINJAGO® Movie Videogame (EUR),null
D537C2F4CAE9F1F822696AA5C9503C7D,The End Is Nigh (EUR USA),null
5AFDF3F5296202781B87C4DA4DEE39AC,Batman - The Telltale Series (EUR USA),null
56A9001957E1FA9E6227F5C3F7F107DC,Banner Saga 2 (EUR USA),null
C9F2BC7618C694059E0B40F0EB6F6AC9,ACA NEOGEO AERO FIGHTERS 2 (EUR JPN USA),null
5833A8D7B8549416BB4EBE5DC8B38D6C,Ys VIII - Lacrimosa of DANA (EUR USA),null
7AEC2A218F3680421EF818EA9D953BFC,MAX マジックマーカーと兄弟の絆 (JPN),null
1710E8367799170BDC0A0626FE1CB863,セクシー・ブルテイル (JPN),null
BF8B423169A80825B3832B694E38C6B4,null,箱子男孩 & 箱子女孩
06C54F7E835CFE06BD2AD31C9C4667D7,ACA NEOGEO KARNOV'S REVENGE (EUR JPN USA),null
4CDEE5A17A605EB562C06C77999FEE03,レイジングループ (JPN),null
7AEA3B76283DF2B97E581259A12F733D,null,耀西的手工世界【试玩版】
9DE96EE84B67D281279E5522B6E7674E,Energy Invasion (EUR USA),null
14942B10F7F71FDBF6B01BEDA5A786A5,金沢将棋 ～レベル300～ (JPN),null
C05664BE07AD098E005A59975B5B41EC,Mega Man X Legacy Collection 2 (EUR USA),null
2B7045EE94F556A84A8CFCE7CAD0B301,ACA NEOGEO FATAL FURY SPECIAL (EUR JPN USA),null
7E5934F6925C1F81CA9A8CFDC00A1335,Arcade Archives RYGAR (EUR JPN USA),null
3736C0E41A34C34F0D7A6F733EFE2857,Red Hot Ricochet (EUR USA),null
5398BEAE7E9836CF06EA1A67532474CE,NARUTO－ナルト－ 疾風伝　ナルティメットストームトリロジー for Nintendo Switch (JPN),null
B45DF781B160A06D838FD4A8D2C28D4E,刑事J.B.ハロルドの事件簿　マーダー・クラブ (JPN),null
EE42F96072B55C97A91872312C7160B1,Bombslinger (EUR USA),null
39DE79BDFCA7E7DC3D277900FB572235,Manual Samuel (EUR USA),null
1FCF0A7AF7CCCB88BADEE5B2CDE5F143,NBA Playgrounds (EUR USA),null
4B633AEBF86BDFAB562F69F47EDA7627,Broken Sword 5 - the Serpent's Curse (EUR USA),null
096C6C8595E5488044801AEFA416723E,Ultra Hyperball (EUR JPN USA),null
5D315FFC05DFD3E4307A98D4E0AE3ED4,Human - Fall Flat (EUR USA),null
A75FECC208B3D32B941379A137A9C2BB,NEKOPARA Vol.1 (EUR JPN USA),null
D0D3A9B76309EDC4C1CD5C03C302F426,Splitter Critters (EUR USA),null
30D8D523C844D99A6DF469FD60DB1953,世界一長い５分間 (JPN),null
D56C2B76C26FD2780610DD049B9CA2A5,White Night (EUR USA),null
